Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
testfull,Chrome 97.0.4692.99,,,2022-02-01 09:24:58,2022-02-01 09:26:05,1m - 6.713s,PASSED
,,,,,,,
Test Cases/Ejercicio1/test1,Chrome 97.0.4692.99,,,2022-02-01 09:24:59,2022-02-01 09:25:17,18.455s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-01 09:24:59,2022-02-01 09:25:02,2.482s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fyour-account%2F%3F_encoding%3DUTF8%26ref_%3Dnav_em_hd_re_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&&ref_%3Dnav_em_hd_clc_signin"")",Chrome 97.0.4692.99,,,2022-02-01 09:25:02,2022-02-01 09:25:03,1.656s,PASSED
maximizeWindow(),Chrome 97.0.4692.99,,,2022-02-01 09:25:03,2022-02-01 09:25:04,0.179s,PASSED
"verifyElementPresent(findTestObject(""Page_Amazon Sign-In/input_Email or mobile phone number_email""), 0)",Chrome 97.0.4692.99,,,2022-02-01 09:25:04,2022-02-01 09:25:04,0.838s,PASSED
"setText(findTestObject(""Page_Amazon Sign-In/input_Email or mobile phone number_email""), Usuario)",Chrome 97.0.4692.99,,,2022-02-01 09:25:04,2022-02-01 09:25:10,5.659s,PASSED
"verifyElementClickable(findTestObject(""Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 97.0.4692.99,,,2022-02-01 09:25:10,2022-02-01 09:25:11,0.410s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 97.0.4692.99,,,2022-02-01 09:25:11,2022-02-01 09:25:12,1.635s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Forgot your password_password""), Passinc)",Chrome 97.0.4692.99,,,2022-02-01 09:25:12,2022-02-01 09:25:13,0.825s,PASSED
"verifyElementClickable(findTestObject(""Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 97.0.4692.99,,,2022-02-01 09:25:13,2022-02-01 09:25:14,0.698s,PASSED
"click(findTestObject(""Object Repository/Page_Amazon Sign-In/input_Enter your password_signInSubmit""))",Chrome 97.0.4692.99,,,2022-02-01 09:25:14,2022-02-01 09:25:14,0.456s,PASSED
delay(2),Chrome 97.0.4692.99,,,2022-02-01 09:25:14,2022-02-01 09:25:16,2.058s,PASSED
closeBrowser(),Chrome 97.0.4692.99,,,2022-02-01 09:25:16,2022-02-01 09:25:17,1.043s,PASSED
,,,,,,,
Test Cases/Ejercicio1/test2,Chrome 97.0.4692.99,,,2022-02-01 09:25:17,2022-02-01 09:25:31,13.409s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-02-01 09:25:18,2022-02-01 09:25:19,1.650s,PASSED
"navigateToUrl(""https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fyour-account%2F%3F_encoding%3DUTF8%26ref_%3Dnav_em_hd_re_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&&ref_%3Dnav_em_hd_clc_signin"")",Chrome 97.0.4692.99,,,2022-02-01 09:25:19,2022-02-01 09:25:21,1.662s,PASSED
maximizeWindow(),Chrome 97.0.4692.99,,,2022-02-01 09:25:21,2022-02-01 09:25:21,0.145s,PASSED
"verifyElementPresent(findTestObject(""Page_Amazon Sign-In/input_Email or mobile phone number_email""), 0)",Chrome 97.0.4692.99,,,2022-02-01 09:25:21,2022-02-01 09:25:22,0.822s,PASSED
